repo_id,commits,interval
141335853,1,145
141335853,1,124
141335853,9,82
141335853,5,81
145919729,2,125
145919729,3,101
145919729,2,97
145919729,10,92
145919729,13,86
145919729,2,153
145919729,1,152
158595713,2,113
158595713,17,109
158595713,4,101
158595713,11,99
158595713,2,150
158595713,5,140
158595713,1,138
158595713,2,115
158595713,2,107
158595713,4,106
158595713,6,149
158595713,5,141
158595713,3,112
158595713,9,110
158595713,8,148
158595713,9,147
158595713,4,102
158595713,1,151
158595713,8,111
142018090,2,114
142018090,4,108
142018090,3,100
142018090,2,133
142018090,2,111
142018090,1,104
142018090,8,93
142018090,1,92
142018090,1,151
142018090,3,126
142018090,1,124
142018090,7,86
142018090,37,84
142018090,2,110
142018090,5,103
142018090,3,95
142018090,2,89
142018090,21,85
142018090,11,90
142018090,4,88
142018090,30,82
142018090,4,150
142018090,1,109
142018090,1,97
142018090,5,87
142018090,2,153
142018090,3,152
142018090,15,83
94249971,1,123
94249971,4,33
94249971,8,30
94249971,6,149
94249971,4,99
94249971,5,85
94249971,5,25
94249971,1,24
94249971,1,100
94249971,5,43
94249971,2,31
94249971,37,29
94249971,11,146
94249971,3,124
94249971,4,67
94249971,2,42
94249971,3,26
130606512,1,62
130606512,1,-784
130606512,6,120
130606512,1,95
130606512,1,-556
130606512,3,81
130606512,3,75
130606512,8,73
130606512,1,-464
130606512,2,-825
130606512,1,-740
130606512,1,-860
130606512,1,79
130606512,1,71
130606512,3,-4
130606512,2,-591
130606512,1,-697
130606512,1,-827
130606512,1,-862
130606512,1,-898
130606512,1,-86
130606512,1,-463
130606512,1,-514
130606512,1,-701
130606512,1,-783
130606512,1,-927
130606512,2,72
130606512,36,69
130606512,1,-247
130606512,1,-849
130606512,1,-858
130606512,3,-864
130606512,6,122
130606512,1,77
130606512,1,70
130606512,1,-594
130606512,1,-824
130606512,7,76
112834020,1,50
112834020,5,49
112834020,15,48
182959890,3,150
182959890,5,134
182959890,3,133
182959890,3,142
182959890,13,137
182959890,2,130
182959890,17,127
182959890,20,124
182959890,3,156
182959890,3,153
182959890,29,143
182959890,5,129
182959890,29,123
182959890,3,155
182959890,8,135
182959890,9,138
182959890,5,131
182959890,68,121
182959890,3,157
182959890,5,147
182959890,3,141
